Price,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG
Date,,,,,
2024-10-18,169.1873016357422,170.10594674358416,166.40176420238998,168.21927948523683,8372500
2024-10-21,167.46856689453125,169.3848665376832,166.3918880467342,168.89097549861756,5522500
2024-10-22,167.62661743164062,168.64403177717483,166.51043392065523,166.51043392065523,7511400
2024-10-23,167.50807189941406,168.09085965693652,166.66845117783578,167.47843964546254,4837800
2024-10-24,167.54757690429688,167.88343423705817,166.8660049172455,167.3500235200801,5861200
2024-10-25,166.16470336914062,167.33027899347854,165.98689475640185,166.85614781343926,4877900
2024-10-28,167.23150634765625,167.58710849337365,166.32274865801358,167.21174648612802,5753800
2024-10-29,165.12753295898438,166.79688713079003,164.79169066009155,166.79688713079003,5681000
2024-10-30,164.12986755371094,165.27569833866323,163.93231415997795,165.04849761713038,5518100
2024-10-31,163.16183471679688,164.99910996571276,163.07293794806503,163.7347501247769,6056500
2024-11-01,163.08282470703125,164.31755228636263,162.97416807715575,163.29025049983835,5454800
2024-11-04,163.0630645751953,164.23852764034754,162.56917354428148,163.6952444918707,5130200
2024-11-05,163.7347412109375,164.28791179954536,162.32222016568056,162.32222016568056,4397400
2024-11-06,159.08229064941406,164.01131307574377,157.85743557004471,163.58657405972667,11473700
2024-11-07,161.41346740722656,161.94686307908242,159.50704022491882,159.9811864580772,9056700
2024-11-08,165.6609344482422,165.70043909845498,161.9271044279193,162.01601626752452,7506200
2024-11-11,164.00146484375,166.46104775858655,163.75451931274728,164.95961470982937,6364400
2024-11-12,163.81378173828125,165.01887711998583,163.5470914202999,164.11011938617497,6507500
2024-11-13,164.5447235107422,164.7620367514356,163.6557106881718,164.03107266252533,5412300
2024-11-14,165.0386199951172,165.98688228394218,164.47557701483703,164.67314547466978,7444300
2024-11-15,167.46856689453125,168.48599630157614,164.84107802169453,165.8881246129363,9939400
2024-11-18,168.66378784179688,169.35523227382163,166.7672480829469,167.0438258557568,6681000
2024-11-19,168.67364501953125,169.07863924759428,167.58709388790356,168.60450811874506,5683700
2024-11-20,168.8020782470703,168.97988685825268,167.4389341599859,167.93282519764162,7081100
2024-11-21,170.6393585205078,171.39006749373846,168.14027100237823,169.56267964417,6240400
2024-11-22,174.12620544433594,175.23251643379885,171.75553473195635,172.0222250132582,10609800
2024-11-25,175.22265625,176.6351924110921,174.73863762220407,175.31155301662847,19357000
2024-11-26,177.1191864013672,177.26736274343705,175.03496579738365,175.03496579738365,6276700
2024-11-27,177.16859436035156,178.22551334766095,176.54628682718797,177.80077428825993,5522900
2024-11-29,177.06980895996094,177.43529857613336,176.10178674879043,176.51665341072064,3823700
2024-12-02,177.50442504882812,177.95881140748295,175.83507103220379,176.93150967154918,5728200
2024-12-03,173.2767333984375,177.4254151854132,173.0594201316206,176.58580944758305,8127300
2024-12-04,172.9705047607422,173.01000940847973,171.3406705072314,172.04198727916122,6823500
2024-12-05,173.8792724609375,174.30402657861072,172.3185750185931,172.72356927507366,5022200
2024-12-06,171.6962890625,174.58061093887673,171.62713708189324,173.22733923469633,5741200
2024-12-09,168.7032928466797,171.63700679590295,168.34769069912662,171.518477770838,7164300
2024-12-10,170.17507934570312,170.81713160767322,167.8537856496138,168.337804248812,6219900
2024-12-11,168.54525756835938,171.27153062544218,168.31805684266723,170.89616861982742,5237500
2024-12-12,168.7625732421875,169.72072305902003,167.94271231271438,169.33547358099204,4072800
2024-12-13,168.97000122070312,169.69107792322754,168.0414836482796,168.68355104759897,3884500
2024-12-16,169.04901123046875,170.66897311096068,169.00950658222334,169.3552212395317,5943600
2024-12-17,168.24891662597656,169.84911870709035,167.94270660525555,168.5847589020991,6069200
2024-12-18,167.01419067382812,168.47610388626495,166.9549261624582,167.68587523249766,7517100
2024-12-19,167.1228485107422,168.02173379930758,165.3053331445839,166.94503990298864,8585200
2024-12-20,166.00665283203125,167.79453597317874,165.45349728254456,166.80675389985012,21999300
2024-12-23,166.0560302734375,166.61905816784574,164.327411797895,166.0066381596649,6983900
2024-12-24,166.8759002685547,167.11295831187323,165.37446734732018,165.57202074087155,2460800
2024-12-26,168.08099365234375,168.21928253349327,166.01653282934106,166.25359086996446,3629400
2024-12-27,167.4586944580078,168.67366219354568,167.19198907671858,167.35003782654616,4367900
2024-12-30,165.04849243164062,166.9153998276249,164.6731455170479,166.60918981610558,4354500
