Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2024-08-01,72.78033447265625,73.70672165619335,72.19888380648773,73.61802133150513,9563500
2024-08-02,72.93801879882812,73.05627587031259,70.87828708344631,71.77510997627316,11526600
2024-08-05,70.38552856445312,71.56815190024382,69.72523485866391,70.03074231560471,13191500
2024-08-06,71.44989013671875,72.17916966868756,70.47423167324399,70.62206053592521,13469700
2024-08-07,71.56815338134766,73.13511974711653,71.4794530578559,71.8243820516835,9571200
2024-08-08,73.11540985107422,73.1351168561333,71.99192259051038,72.1693157115935,8828000
2024-08-09,73.26323699951172,73.49976619231585,72.30729304109337,73.04642985110728,7186600
2024-08-12,73.55889129638672,73.91367755013843,72.97744064205858,73.627877094678,7067300
2024-08-13,77.36298370361328,77.90502035495184,73.98266449708204,74.1600576267121,22114800
2024-08-14,77.3826904296875,77.94443408500251,76.29862464982023,76.87022556754799,13613000
2024-08-15,81.30504608154297,81.85693247314317,79.50155052756467,80.91083829373362,23583600
2024-08-16,82.02447509765625,82.72419034305801,81.24591679164604,81.67953858721631,13794200
2024-08-19,82.07374572753906,82.77346096745187,81.71895947647228,82.02447445421137,9627300
2024-08-20,82.34968566894531,82.68476490123578,81.57112739976589,82.28069987389841,7863100
2024-08-21,82.7833251953125,83.019846876296,82.01462409294965,82.45810318465477,6915900
2024-08-22,82.20186614990234,83.45346775019809,82.00475850335599,83.22679583639176,8485500
2024-08-23,82.83260345458984,83.01984633799705,82.01462356116855,82.13288064144918,9219700
2024-08-26,83.05925750732422,83.28592941439345,82.17229192144758,82.2609922394791,7853300
2024-08-27,84.05463409423828,84.15318415945114,82.39896743444287,82.85230374953247,14954000
2024-08-28,81.59083557128906,84.19259609462674,80.69401278661252,83.81810288194032,11088600
2024-08-29,82.05403900146484,82.6749111835024,81.6598312190604,82.2412818709687,7477200
2024-08-30,82.11316680908203,82.6650531882216,80.86156519385105,82.38910999865182,13755300
2024-09-03,80.4996109008789,82.10327040958042,80.19274072207088,81.87558741882127,10133700
2024-09-04,80.20263671875,80.27193023056219,78.86625753241407,79.29191983423937,12837400
2024-09-05,80.01455688476562,80.42041671575707,79.40080897048513,80.3115258349585,7596300
2024-09-06,79.81656646728516,81.05395591888751,79.53939243851437,80.06404435760562,8512200
2024-09-09,78.68807220458984,80.75699140832995,78.22281253689788,79.93536295484951,8003300
2024-09-10,77.30220031738281,78.75737171139725,76.76765465043128,78.75737171139725,9748400
2024-09-11,77.60906982421875,77.79714788983958,75.96581296690123,77.2131036794798,8265500
2024-09-12,77.60906982421875,78.27230877401152,76.74784402584349,77.44078666724316,7186100
2024-09-13,78.2129135131836,78.68806682681064,77.32199160960069,77.51007722047534,5814200
2024-09-16,78.99494934082031,79.18302741069394,77.89614685172604,78.52968967666358,9547700
2024-09-17,79.82647705078125,80.16305094831463,79.05434715089967,79.20283541297538,7580600
2024-09-18,80.08385467529297,80.93517930571373,79.4206156767453,79.84627799195567,7637000
2024-09-19,80.16304779052734,82.28145809224041,79.658190740328,81.76669981097892,15067100
2024-09-20,85.64714813232422,87.11222062037068,83.95440020610587,86.98353483150944,52039300
2024-09-23,85.33038330078125,85.65705596587154,84.19199091731642,84.53845849282428,17712400
2024-09-24,86.57766723632812,87.38939444254285,85.78574249138205,86.55787232748557,21123300
2024-09-25,87.11222076416016,87.21121041363419,86.35988583379036,86.96373251373602,12392800
2024-09-26,88.48819732666016,89.70579191782197,88.15163100779864,89.01284926631261,13592800
2024-09-27,88.5376968383789,89.34942405669459,88.3100138449517,88.54759051673462,9181000
2024-09-30,87.50818634033203,88.84456548052886,86.84494738553876,88.79506687990353,12027100
2024-10-01,88.23081970214844,88.73567674148526,86.8251470186256,87.11222229383964,20623400
2024-10-02,82.26165771484375,84.37017439135649,80.94507338999075,82.05377717182905,33208800
2024-10-03,81.27174377441406,82.93479562436289,81.15295921169184,81.56872028607245,18143800
